Example,Familiar Situation,In a hurry,Long Delay,Safe Situation,Confident,Safety Critical Decision,Asked Before,Decision
1,1,1,0,1,1,1,0,No
2,1,0,0,1,0,0,0,No
3,0,0,1,1,0,0,0,No
4,1,1,1,1,1,1,0,No
5,1,1,1,1,0,1,1,No
6,0,0,0,0,1,1,1,Yes
7,1,0,1,1,0,0,1,No
8,0,1,1,0,1,1,1,Yes
9,1,1,1,1,1,0,0,No
10,1,1,0,1,1,1,1,Yes
11,1,0,1,1,1,0,1,Yes
12,1,1,0,1,1,0,0,No
13,0,0,0,1,1,0,0,No
14,1,0,1,1,1,1,1,Yes
15,0,0,1,0,1,0,0,Yes
16,0,0,0,0,1,1,0,Yes
17,0,1,1,0,0,1,1,Yes
18,1,0,0,1,0,0,0,No
19,0,0,0,0,0,0,0,Yes
20,0,1,0,0,0,1,0,Yes
21,0,0,1,0,0,1,0,Yes
22,1,0,0,1,0,1,1,No
23,1,1,0,0,0,0,1,Yes
24,0,1,0,1,0,1,1,Yes
25,1,0,0,1,1,1,0,No
26,0,0,1,1,0,0,0,No
27,0,0,0,1,0,0,1,No
28,1,0,1,1,1,0,0,No
29,0,0,0,0,0,0,1,Yes
30,0,0,1,1,1,1,0,Yes
31,0,0,0,1,1,1,0,Yes
32,0,1,0,0,1,1,0,Yes
33,1,1,1,0,1,0,0,No
34,0,0,1,1,1,0,1,No
35,1,1,1,1,0,0,0,No
36,1,1,1,1,1,1,1,Yes
37,1,1,0,0,0,1,1,Yes
38,0,1,0,1,1,1,0,Yes
39,0,0,1,0,1,1,1,Yes
40,0,0,0,0,1,0,0,Yes
41,0,0,1,0,0,0,0,Yes
42,0,1,0,0,0,0,1,Yes
43,0,1,1,1,0,0,1,No
44,1,1,1,0,0,0,0,Yes
45,1,1,1,1,0,1,0,No
46,0,0,0,1,1,0,1,No
47,0,0,0,1,1,0,1,No
48,1,0,1,0,1,0,0,No
49,1,0,0,0,0,1,1,Yes
50,1,0,1,0,0,0,0,Yes
51,0,1,0,0,1,0,0,Yes
52,1,0,0,1,0,1,0,No
53,0,0,1,0,1,0,1,Yes
54,1,1,0,0,0,1,1,Yes
55,1,0,1,0,0,1,1,Yes
56,1,1,0,0,0,0,1,Yes
57,0,1,0,0,1,1,1,Yes
58,1,1,0,1,0,0,0,No
59,1,1,1,1,0,0,1,No
60,0,1,0,1,0,1,0,Yes
61,1,0,1,0,0,1,1,Yes
62,1,0,1,0,1,1,1,Yes
63,0,0,1,1,1,1,0,Yes
64,1,0,1,0,1,1,0,No
65,1,0,1,1,1,0,1,Yes
66,0,1,1,0,0,0,0,Yes
67,0,1,1,0,1,0,1,Yes
68,0,1,1,1,0,1,0,Yes
69,1,1,0,1,0,1,1,No
70,0,1,0,0,1,0,1,Yes
71,0,0,0,1,0,0,1,No
72,1,1,0,1,0,0,0,No
73,1,0,1,0,1,0,1,Yes
74,1,0,0,0,0,1,0,Yes
75,0,1,1,0,0,0,1,Yes
76,1,1,1,0,0,0,0,Yes
77,0,0,1,1,1,0,0,No
78,1,0,0,1,1,0,0,No
79,0,0,0,1,1,0,1,No
80,0,1,0,0,1,1,0,Yes
81,1,0,0,0,0,0,1,Yes
82,0,0,1,0,1,0,1,Yes
83,0,0,1,1,0,1,0,Yes
84,0,0,0,0,1,0,0,Yes
85,0,0,1,1,0,1,0,Yes
86,0,0,1,1,1,1,1,Yes
87,1,1,0,1,1,1,0,No
88,1,0,1,0,0,1,1,Yes
89,0,0,0,1,0,0,0,No
90,0,1,0,1,0,1,0,Yes
91,0,0,1,0,0,0,1,Yes
92,0,1,1,0,0,1,0,Yes
93,1,0,0,0,1,0,0,No
94,0,1,0,1,1,0,1,No
95,0,0,1,0,1,1,0,Yes
96,0,1,0,0,0,1,0,Yes
97,1,1,1,1,0,1,0,No
98,1,0,1,1,0,0,1,No
99,1,0,1,0,1,0,1,Yes
100,0,1,1,1,1,0,0,No
